Image|Date|Operator|A/C Type|Location|Fatalities|Registration|Unnamed: 7
|Oct 27, 2022||Canadair CL-415|Linguaglossa, Sicily|2|I-DPCN|+
|Aug 18, 2022|ALM Holding|Cessna 340|Watsonville, California|2|N740WJ|+
|Aug 14, 2022||Piper PA-31-310 Navajo|La Libertad, Campeche|1|-|+
|Jul 17, 2022|Gold Aero Aviation|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|North Las Vegas, Nevada|2|N97CX|+
|Jul 15, 2022||PZL-Mielec AN-2|Prochnookopskaya, Krasnodar Krai|2|RA-02240|+
|Jun 22, 2022|NPP Mir|Antonov AN-30|Olenyok, Republic of Yakutia (Sakha)|0|RA-30001|+
|Jun 21, 2022|Techservice|PZL-Mielec AN-2|Sebyan-Kyuyol, Republic of Yakutia (Sakha)|2|RA-17742|+
|May 29, 2022||De Havilland DHC-6 Twin Otter|Shikha, Dhawalagiri|22|9N-AET|+
|Apr 3, 2022||Piper PA-31-350 Navajo Chieftain|Cobán, Alta Verapaz|0|PT-ECU|+
|Mar 30, 2022||Cessna 208A Caravan|Mt Grüehorn, Saint Gallen|1|D-FLIC|+
|Dec 21, 2021||Cessna 208B Grand Caravan|Fulshear, Texas|2|N1116N|+
|Jul 6, 2021||Antonov AN-26|Palana, Kamchatka Krai|28|RA-26085|+
|Jul 5, 2021|Transenergie|IAI 1124 Westwind|Treasure Cay, Central Abaco|2|N790JR|+
|May 12, 2021||Swearingen SA226 Metro II|Denver-Centennial, Colorado|0|N280KL|+
|May 6, 2021||Beechcraft 250 Super King Air|Gwalior, Madhya Pradesh|0|VT-MPQ|+
|Mar 11, 2021||Rockwell Grand Commander 690|Batey Palo Bonito, La Altagracia|2|-|+
|Jan 23, 2021|Aviación Ejecutiva del Bajío|Rockwell Sabreliner 60|Rocky Point, Clarendon|0|XB-JMR|+
|Dec 19, 2020||BAe 125|Sierra del Lacandón National Park, Petén|1|-|+
|Dec 13, 2020||Eclipse EA500|Leadville, Colorado|0|N686TM|+
|Dec 9, 2020||PZL-Mielec AN-2|Zolota Sloboda, Ternopil Oblast|1|UR-33642|+
|Dec 5, 2020||BAe 125|Jesús María Semprún, Zulia|0|N484AR|+
|Dec 2, 2020||Boeing 737-500|Garowe, Nugaal (نوغال‎)|0|EY-560|+
|Nov 9, 2020||Rockwell Sabreliner 65|El Chico, Retalhuleu|1|XA-VD?|+
|Oct 29, 2020||Gulfstream GIII|Laguna del Tigre National Park, Petén|2|N461AR|+
|Oct 5, 2020|Indigo Aviation|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Vannes, Morbihan|0|N898BB|+
|Sep 23, 2020||BAe 125|Alta Verapaz, Alta Verapaz|4|XB-PYZ|+
|Sep 21, 2020||Learjet 35|Santa Marta, Cayo|0|XA-DOC|+
|Sep 16, 2020|Drive Line|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Jacksonville-Cherokee County, Texas|0|N972DD|+
|Aug 29, 2020||Dassault Falcon 20|Palenque, Chiapas|0|XB-OAP|+
|Aug 23, 2020||Rockwell Grand Commander 690|Ahuas, Gracias a Dios|0|XB-DRA|+
|Aug 10, 2020||Rockwell Sabreliner 75|Punto Fijo, Falcón|2|N400RS|+
|Aug 8, 2020||Canadair CL-215|Lobios, Galicia|1|EC-HET|+
|Aug 7, 2020||Boeing 737-800|Kozhikode-Calicut, Kerala|21|VT-AXH|+
|Aug 1, 2020|Solo Energy Drink|Cessna 401|Lake Maracaibo, Zulia|0|N17JE|+
|Jul 26, 2020||Cessna 402|Papa Lealea, Central|0|VH-TSI|+
|Jul 20, 2020||Beechcraft 200 Super King Air|Brus Laguna, Gracias a Dios|0|N740P|+
|Jul 13, 2020|Zeus-Avia|PZL-Mielec AN-2|Kistenevo, Nizhny Novgorod oblast|2|RA-40851|+
|Jul 5, 2020||De Havilland DHC-2 Beaver|Lake Coeur d'Alene, Idaho|6|N2106K|+
|Jun 15, 2020||Gulfstream GII|Machiques, Zulia|1|N27SL|+
|Jun 8, 2020||Lockheed C-130 Hercules|Al Taji AAF, Salāh ad-Dīn (صلاح الدين)|0|94-6706|+
|May 28, 2020||Rockwell Shrike Commander 500|Aniak, Alaska|0|N909AK|+
|May 28, 2020||BAe 125|Sartaneja, Corozal|0|N720PT|+
|May 22, 2020||Airbus A320|Karachi-Muhammad Ali Jinnah-Quaid-e-Azam, Sindh (سنڌ سندھ)|98|AP-BLD|+
|May 9, 2020||Cessna 402|Hampton-Henry County, Georgia|0|N4661N|+
|May 5, 2020||Learjet 35|Esquel, Chubut|3|LV-BXU|+
|May 4, 2020||Embraer EMB-120 Brasília|Bardale, Baay (باي‎)|5|5Y-AXO|+
|Apr 19, 2020||BAe 125|La Libertad, Petén|2|N700NW|+
|Mar 22, 2020||BAe 125|Caballo Blanco, Retalhuleu|0|XB-PNK|+
|Mar 5, 2020||Cessna 208B Grand Caravan|Rhinelander, Wisconsin|0|N706FX|+
|Feb 25, 2020|Expectra Aviation|Learjet 55 Longhorn|Monmouth, New Jersey|0|N135LR|+
|Feb 20, 2020|Ejets|Cessna 510 Citation Mustang|Daytona Beach-Intl, Florida|0|N163TC|+
|Feb 9, 2020||Boeing 737-500|Usinsk, Republic of Komi|0|VQ-BPS|+
|Feb 6, 2020||Cessna 208B Grand Caravan|Eureka-Murray Field, California|0|N24MG|+
|Jan 29, 2020||Beechcraft 60 Duke|Big Spring, Texas|0|N50JR|+
|Jan 27, 2020||Bombardier Global Express/XRS|Sharana AFB, Parwan|2|11-9358|+
|Jan 27, 2020||McDonnell Douglas MD-83|Bandar-e Mahshahr, Khuzestan|0|EP-CPZ|+
|Jan 23, 2020||Cessna 550 Citation II|George, Western Cape|3|ZS-CAR|+
|Dec 27, 2019||Fokker 100|Almaty, Almaty Province|12|UP-F1007|+
|Dec 18, 2019|WL Aviation|Beechcraft 200 Super King Air|Fresno, California|0|N72MM|+
|Dec 14, 2019|Anju Azul Aviation|Angel Aircraft Corporation Model 44 Angel|Mareeba, Queensland|2|VH-IAZ|+
|Dec 9, 2019||Cessna 208B Grand Caravan|Victoria, Texas|1|N4602B|+
|Dec 2, 2019||BAe 125|San Andrés Villa Seca, Retalhuleu|0|XB-PGP|+
|Nov 29, 2019||Piper PA-31-350 Navajo Chieftain|Cooper Landing, Alaska|3|N4087G|+
|Nov 23, 2019||Beechcraft 200 Super King Air|Saint Jean, South|0|XB-PYB|+
|Nov 21, 2019||Boeing 737-800|Odessa, Odessa Oblast|0|TC-JGZ|+
