fecha|modeloAvion|lugarAccidente|fallecidosTotales
Oct 27, 2022|Canadair CL-415|Linguaglossa, Sicily|2
Aug 18, 2022|Cessna 340|Watsonville, California|2
Aug 14, 2022|Piper PA-31-310 Navajo|La Libertad, Campeche|1
Jul 17, 2022|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|North Las Vegas, Nevada|2
Jul 15, 2022|PZL-Mielec AN-2|Prochnookopskaya, Krasnodar Krai|2
Jun 22, 2022|Antonov AN-30|Olenyok, Republic of Yakutia (Sakha)|0
Jun 21, 2022|PZL-Mielec AN-2|Sebyan-Kyuyol, Republic of Yakutia (Sakha)|2
May 29, 2022|De Havilland DHC-6 Twin Otter|Shikha, Dhawalagiri|22
Apr 3, 2022|Piper PA-31-350 Navajo Chieftain|Cobán, Alta Verapaz|0
Mar 30, 2022|Cessna 208A Caravan|Mt Grüehorn, Saint Gallen|1
Dec 21, 2021|Cessna 208B Grand Caravan|Fulshear, Texas|2
Jul 6, 2021|Antonov AN-26|Palana, Kamchatka Krai|28
Jul 5, 2021|IAI 1124 Westwind|Treasure Cay, Central Abaco|2
May 12, 2021|Swearingen SA226 Metro II|Denver-Centennial, Colorado|0
May 6, 2021|Beechcraft 250 Super King Air|Gwalior, Madhya Pradesh|0
Mar 11, 2021|Rockwell Grand Commander 690|Batey Palo Bonito, La Altagracia|2
Jan 23, 2021|Rockwell Sabreliner 60|Rocky Point, Clarendon|0
Dec 19, 2020|BAe 125|Sierra del Lacandón National Park, Petén|1
Dec 13, 2020|Eclipse EA500|Leadville, Colorado|0
Dec 9, 2020|PZL-Mielec AN-2|Zolota Sloboda, Ternopil Oblast|1
Dec 5, 2020|BAe 125|Jesús María Semprún, Zulia|0
Dec 2, 2020|Boeing 737-500|Garowe, Nugaal (نوغال‎)|0
Nov 9, 2020|Rockwell Sabreliner 65|El Chico, Retalhuleu|1
Oct 29, 2020|Gulfstream GIII|Laguna del Tigre National Park, Petén|2
Oct 5, 2020|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Vannes, Morbihan|0
Sep 23, 2020|BAe 125|Alta Verapaz, Alta Verapaz|4
Sep 21, 2020|Learjet 35|Santa Marta, Cayo|0
Sep 16, 2020|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Jacksonville-Cherokee County, Texas|0
Aug 29, 2020|Dassault Falcon 20|Palenque, Chiapas|0
Aug 23, 2020|Rockwell Grand Commander 690|Ahuas, Gracias a Dios|0
Aug 10, 2020|Rockwell Sabreliner 75|Punto Fijo, Falcón|2
Aug 8, 2020|Canadair CL-215|Lobios, Galicia|1
Aug 7, 2020|Boeing 737-800|Kozhikode-Calicut, Kerala|21
Aug 1, 2020|Cessna 401|Lake Maracaibo, Zulia|0
Jul 26, 2020|Cessna 402|Papa Lealea, Central|0
Jul 20, 2020|Beechcraft 200 Super King Air|Brus Laguna, Gracias a Dios|0
